word	greedy	greedy_adv	simple
MOOSGUMMI	2	2	2
HOBELTEST	2	2	2
MARITIMES	2	2	2
MITTLERER	2	2	2
LACKIERST	2	2	2
KNIEWEICH	2	2	2
MACHENDES	2	3	3
HERLOCKEN	2	3	3
NICHTIGEN	2	2	2
MOTORBOOT	2	2	2
MINICRASH	2	2	2
MITJUBELN	2	2	1
LAGERTEST	2	2	1
KOMMENDEN	3	3	2
MAYFLOWER	2	2	2
NACHKOMMT	2	2	2
KOPPELBAR	2	2	1
OELQUELLE	2	2	2
PFLANZTET	2	2	2
MAHNENDER	3	2	3
LEBHAFTER	2	2	2
NACHTRUHE	2	2	2
PISTAZIEN	2	2	2
OSTGRENZE	1	2	2
NUMERIERE	2	1	2
NACHTISCH	2	2	2
OSTEREIER	2	2	2
MERKLISTE	2	2	2
NIEDLICHE	2	2	2
NEIDLOSEN	2	2	2
KOERNCHEN	3	3	3
POLITISCH	2	2	2
MESSBAREN	2	2	2
PLANLOSER	2	2	2
PRAEZISER	2	2	3
OPULENTER	2	1	2
OFFENLEGT	2	2	2
MOEBLIERT	2	2	2
PARADOXIE	2	2	2
PORTUGALS	2	2	2
MONTEUREN	1	1	2
PRAKTIKEN	2	2	1
KNACKTEST	2	2	1
NORDISCHE	2	2	2
NAMENLOSE	2	2	2
KREUZTEST	2	2	3
MOBILERER	2	2	2
PILGERTET	2	3	1
NOTHELFER	2	2	2
PRASIDENT	2	2	2
PROMILLES	2	2	3
POSTCHECK	2	2	1
ORDONNANZ	2	2	2
RATZEBURG	1	2	1
QUOTIERST	2	2	3
RAUSCHTEN	2	1	3
LOHNENDEN	2	2	3
RASIERTES	2	2	2
POLYGAMIE	2	2	2
PUTZENDEM	2	2	4
NUETZLICH	2	2	2
MUEDESTER	2	1	2
PRUEDERES	2	2	2
NERVOESES	2	2	3
RASTENDES	2	2	2
RAUNENDEN	2	2	2
REALISMUS	1	2	2
POLEMIKEN	2	2	1
PFLEGTEST	2	2	2
PENDELUHR	2	2	2
MUTIGSTEN	2	2	2
OBERARMEN	2	2	3
RISSIGSTE	1	2	1
KREUZWEIS	2	2	2
ROMANCIER	2	2	2
ROSTETEST	2	2	2
RAEUMENDE	2	2	2
SAMMELRUF	2	1	2
SATTLEREI	1	2	3
QUETSCHTE	2	2	3
ROSAROTER	2	2	2
SACHLICHE	2	2	2
PREKAERES	2	2	3
PHAENOMEN	2	2	2
RAETSELTE	1	2	3
SAGEARTIG	1	2	2
SATZUNGEN	2	2	2
SAUBERERE	2	2	2
PILZTASTE	2	2	2
SATTELTET	2	2	2
OFFENBARE	2	2	2
OSTERTAGE	2	2	2
RUEBEZAHL	2	1	2
OBERSTUFE	2	2	2
OPERNCHEF	2	2	2
PHOTOLYSE	2	2	2
RAEUCHERN	2	2	2
RAMMENDER	2	2	4
PUEPPCHEN	2	2	2
RADELTEST	2	3	2
RUHELOSER	2	2	2
SCHADETET	2	2	2
SCHLEUNIG	2	2	2
REDUNDANZ	2	2	2
REUEVOLLE	2	2	2
SCHMISSIG	1	2	2
SAUERSTEM	2	2	2
SCHIFFEND	2	2	2
